AKT2004;Administrasjon
PSP5953;Estisk nivå I, muntlig
PSP5954;Estisk nivå II
PSP5955;Estisk nivå II, muntlig
PSP5956;Estisk nivå III
PSP5957;Estisk nivå III, muntlig
PSP5958;Filipino nivå I
PSP5959;Filipino nivå I, muntlig
PSP5960;Filipino nivå II
PSP5961;Filipino nivå II, muntlig
PSP5962;Filipino nivå III
PSP5963;Filipino nivå III, muntlig
PSP5964;Hebraisk nivå I
PSP5965;Hebraisk nivå I, muntlig
PSP5966;Hebraisk nivå II
PSP5967;Hebraisk nivå II, muntlig
PSP5968;Hebraisk nivå III
PSP5969;Hebraisk nivå III, muntlig
PSP5970;Kantonesisk nivå I
PSP5971;Kantonesisk nivå I, muntlig
PSP5972;Kantonesisk nivå II
PSP5973;Kantonesisk nivå II, muntlig
PSP5974;Kantonesisk nivå III
PSP5975;Kantonesisk nivå III, muntlig
PSP5976;Latvisk nivå I
PSP5977;Latvisk nivå I, muntlig
PSP5978;Latvisk nivå II
PSP5979;Latvisk nivå II, muntlig
PSP5980;Latvisk nivå III
PSP5981;Latvisk nivå III, muntlig
PSP5982;Nederlandsk nivå I
PSP5983;Nederlandsk nivå I, muntlig
PSP5984;Nederlandsk nivå II
PSP5985;Nederlandsk nivå II, muntlig
PSP5986;Nederlandsk nivå III
PSP5987;Nederlandsk nivå III, muntlig
PSP5988;Oromo nivå I
PSP5989;Oromo nivå I, muntlig
PSP5990;Oromo nivå II
PSP5991;Oromo nivå II, muntlig
PSP5992;Oromo nivå III
PSP5993;Oromo nivå III, muntlig
PSP5994;Panjabi nivå I
PSP5995;Panjabi nivå I, muntlig
PSP5996;Panjabi nivå II
PSP5997;Panjabi nivå II, muntlig
PSP5998;Panjabi nivå III
PSP5999;Panjabi nivå III, muntlig
PSP6000;Pashto nivå I
PSP6001;Pashto nivå I, muntlig
PSP6002;Pashto nivå II
PSP6003;Pashto nivå II, muntlig
PSP6004;Pashto nivå III
PSP6005;Pashto nivå III, muntlig
PSP6006;Tigrinja nivå I
PSP6007;Tigrinja nivå I, muntlig
PSP6008;Tigrinja nivå II
PSP6009;Tigrinja nivå II, muntlig
PSP6010;Tigrinja nivå III
PSP6011;Tigrinja nivå III, muntlig
PSP6012;Islandsk nivå I
PSP6013;Islandsk nivå I, muntlig
PSP6014;Islandsk nivå II
PSP6015;Islandsk nivå II, muntlig
PSP6016;Islandsk nivå III
PSP6017;Islandsk nivå III, muntlig
PSP6018;Hindi nivå I
PSP6019;Hindi nivå I, muntlig
PSP6020;Hindi nivå II
PSP6021;Hindi nivå II, muntlig
PSP6022;Hindi nivå III
PSP6023;Hindi nivå III, muntlig
PSP6032;Litauisk nivå I
PSP6033;Litauisk nivå I, muntlig
PSP6034;Litauisk nivå II
PSP6035;Litauisk nivå II, muntlig
PSP6036;Litauisk nivå III
PSP6037;Litauisk nivå III, muntlig
PSP6038;Thai nivå I
PSP6039;Thai nivå I, muntlig
PSP6040;Thai nivå II
PSP6041;Thai nivå II, muntlig
PSP6042;Thai nivå III
PSP6043;Thai nivå III, muntlig
PSP6044;Serbisk nivå I
PSP6045;Serbisk nivå I, muntlig
PSP6046;Serbisk nivå II
PSP6047;Serbisk nivå II, muntlig
PSP6048;Serbisk nivå III
PSP6049;Serbisk nivå III, muntlig
PSP6050;Nygresk nivå I
PSP6051;Nygresk nivå I, muntlig
PSP6052;Nygresk nivå II
PSP6053;Nygresk nivå II, muntlig
PSP6054;Nygresk nivå III
PSP6055;Nygresk nivå III, muntlig
PSP6056;Ungarsk nivå I
PSP6057;Ungarsk nivå I, muntlig
PSP6058;Ungarsk nivå II
PSP6059;Ungarsk nivå II, muntlig
PSP6060;Ungarsk nivå III
PSP6061;Ungarsk nivå III, muntlig
PSP6062;Ukrainsk nivå I
PSP6063;Ukrainsk nivå I, muntlig
PSP6064;Ukrainsk nivå II
PSP6065;Ukrainsk nivå II, muntlig
PSP6066;Ukrainsk nivå III
PSP6067;Ukrainsk nivå III, muntlig
PSP6068;Bulgarsk nivå I
PSP6069;Bulgarsk nivå I, muntlig
PSP6070;Bulgarsk nivå II
PSP6071;Bulgarsk nivå II, muntlig
PSP6072;Bulgarsk nivå III
PSP6073;Bulgarsk nivå III, muntlig
PSP6074;Kroatisk nivå I
PSP6075;Kroatisk nivå I, muntlig
PSP6076;Kroatisk nivå II
PSP6077;Kroatisk nivå II, muntlig
PSP6078;Kroatisk nivå III
PSP6079;Kroatisk nivå III, muntlig
PSP6080;Kurdisk (kurmanji) nivå I
PSP6081;Kurdisk (kurmanji) nivå I, muntlig
PSP6082;Kurdisk (kurmanji) nivå II
PSP6083;Kurdisk (kurmanji) nivå II, muntlig
PSP6084;Kurdisk (kurmanji) nivå III
PSP6085;Kurdisk (kurmanji) nivå III, muntlig
REA3035;Biologi 1
REA3036;Biologi 2
REA3037;Biologi 2, muntlig-praktisk
REA3038;Fysikk 1
REA3039;Fysikk 2
REA3040;Fysikk 2, muntlig-praktisk
REA3041;Geofag X
REA3042;Geofag 1
REA3043;Geofag 2
REA3044;Geofag 2, muntlig-praktisk
REA3045;Kjemi 1
REA3046;Kjemi 2
REA3047;Kjemi 2, muntlig-praktisk
REA3048;Informasjonsteknologi 1
REA3049;Informasjonsteknologi 2
REA3050;Informasjonsteknologi 2, muntlig-praktisk
REA3051;Teknologi og forskningslære X
REA3052;Teknologi og forskningslære 1
REA3053;Teknologi og forskningslære 2
REA3054;Teknologi og forskningslære 2, muntlig-praktisk
REA3055;Matematikk X
REA3056;Matematikk R1
REA3057;Matematikk R1, muntlig
REA3058;Matematikk R2
REA3059;Matematikk R2, muntlig
REA3060;Matematikk S1
REA3061;Matematikk S1, muntlig
REA3062;Matematikk S2
REA3063;Matematikk S2, muntlig
REA3064;Programmering og modellering X
REI2009;Reindriftsbasert aktivitet og produksjon
REI2010;Reinen og dens naturmiljø
REI2011;Økonomi og ressursforvaltning
REI2012;Tverrfaglig eksamen reindrift
REI3004;Reindriftsfaget
REI3103;Reindriftsfaget, skriftlig
REL1003;Religion og etikk
REL1004;Religion og etikk, samisk plan
REP3004;Repslagerfaget - særløp
REP3103;Repslagerfaget, skriftlig
RLF2001;Bransjelære
RLF2002;Sanitærteknikk
RLF2003;Varmeteknikk
RLF2004;Tverrfaglig eksamen rørlegger
RLF3004;Rørleggerfaget
RLF3103;Rørleggerfaget, skriftlig
RLV3004;Reiselivsfaget
RLV3103;Reiselivsfaget, skriftlig
RMF1006;Råvare, produksjon og kvalitet
RMF1007;Bransje og arbeidsliv
RMF1008;Tverrfaglig eksamen, restaurant- og matfag, privatister
ROF3004;Renholdsoperatørfaget - særløp
ROF3103;Renholdsoperatørfaget - skriftlig
ROM3007;Elektronikk og kommunikasjonsteknologi
ROM3008;Romteknologi og satellitteknikk
ROM3009;Telemetri
ROM3010;Romfysikk
ROM3011;Fjernanalyse og geografiske informasjonssystemer
ROM3012;Tverrfaglig eksamen romteknologi
RSD3004;Reservedelsfaget
RSD3103;Reservedelsfaget, skriftlig
SAK1001;Samfunnskunnskap
SAK1002;Samfunnskunnskap, samisk plan
SAL3004;Salmakerfaget
SAL3103;Salmakerfaget, skriftlig
SAM3042;Historie og filosofi 1
SAM3043;Historie og filosofi 2
SAM3044;Historie og filosofi 2, muntlig
SAM3045;Markedsføring og ledelse 1
SAM3046;Markedsføring og ledelse 2
SAM3047;Markedsføring og ledelse 2, muntlig
SAM3048;Medie- og informasjonskunnskap 1
SAM3049;Medie- og informasjonskunnskap 2
SAM3050;Medie- og informasjonskunnskap 2, muntlig-praktisk
SAM3051;Sosialkunnskap
SAM3052;Sosialkunnskap, muntlig
SAM3053;Samfunnsgeografi
SAM3054;Sosiologi og sosialantropologi
SAM3055;Politikk og menneskerettigheter
SAM3056;Politikk og menneskerettigheter, muntlig
SAM3057;Rettslære 1
SAM3058;Rettslære 2
SAM3059;Rettslære 2, muntlig
SAM3060;Samfunnsøkonomi 1
SAM3061;Samfunnsøkonomi 2
SAM3062;Samfunnsøkonomi 2, muntlig
SAM3063;Entreprenørskap og bedriftsutvikling 1
SAM3064;Entreprenørskap og bedriftsutvikling 2
SAM3065;Entreprenørskap og bedriftsutvikling 2, muntlig-praktisk
SAM3066;Samisk historie og samfunn 1
SAM3067;Samisk historie og samfunn 2
SAM3068;Økonomistyring
SAM3069;Økonomistyring, muntlig-praktisk
SAM3070;Økonomi og ledelse
SAM3071;Økonomi og ledelse, muntlig-praktisk
SAM3072;Psykologi 1
SAM3073;Psykologi 2
SAM3074;Psykologi 2, muntlig
SAM3075;Økologisk økonomi 1
SAM3076;Økologisk økonomi 2
SAM3077;Økologisk økonomi 2, muntlig-praktisk
SAM3078;Bioøkonomi 1
SAM3079;Bioøkonomi 2
SAM3080;Bioøkonomi 2, muntlig-praktisk
SAS2001;Samisk som andrespråk, samisk 2, nordsamisk, vg1 yrkesfaglige utdanningsprogram
SAS2002;Samisk som andrespråk, samisk 2, nordsamisk, vg2 yrkesfaglige utdanningsprogram
SAS2003;Samisk som andrespråk, samisk 2, nordsamisk, vg2 yrkesfaglige utdanningsprogram, muntlig
SAS2004;Samisk som andrespråk, samisk 2, nordsamisk, vg1 studieforberedende utdanningsprogram, skriftlig
SAS2005;Samisk som andrespråk, samisk 2, nordsamisk, vg1 studieforberedende utdanningsprogram, muntlig
SAS2006;Samisk som andrespråk, samisk 2, nordsamisk, vg2  studieforberedende utdanningsprogram, skriftlig
SAS2007;Samisk som andrespråk, samisk 2, nordsamisk, vg2 studieforberedende utdanningsprogram, muntlig
SAS2008;Samisk som andrespråk, samisk 2, nordsamisk, Vg3 studieforberedende utdanningsprogram, skriftlig
SAS2009;Samisk som andrespråk, samisk 2, nordsamisk, Vg3 studieforberedende utdanningsprogram, muntlig
SAS2010;Samisk som andrespråk, samisk 2, sørsamisk, vg1 yrkesfaglige utdanningsprogram
SAS2011;Samisk som andrespråk, samisk 2, sørsamisk, vg2 yrkesfaglige utdanningsprogram
SAS2012;Samisk som andrespråk, samisk 2, sørsamisk, vg2 yrkesfaglige utdanningsprogram, muntlig
SAS2013;Samisk som andrespråk, samisk 2, sørsamisk, vg1 studieforberedende utdanningsprogram, skriftlig
SAS2014;Samisk som andrespråk, samisk 2, sørsamisk, vg1 studieforberedende utdanningsprogram, muntlig
SAS2015;Samisk som andrespråk, samisk 2, sørsamisk, vg2 studieforberedende utdanningsprogram, skriftlig
SAS2016;Samisk som andrespråk, samisk 2, sørsamisk, vg2 studieforberedende utdanningsprogram, muntlig
SAS2017;Samisk som andrespråk, samisk 2, sørsamisk, Vg3 studieforberedende utdanningsprogram, skriftlig
SAS2018;Samisk som andrespråk, samisk 2, sørsamisk, Vg3 studieforberedende utdanningsprogram, muntlig
SAS2019;Samisk som andrespråk, samisk 2, lulesamisk, vg1 yrkesfaglige utdanningsprogram
SAS2020;Samisk som andrespråk, samisk 2, lulesamisk, vg2 yrkesfaglige utdanningsprogram
SAS2021;Samisk som andrespråk, samisk 2, lulesamisk, vg2 yrkesfaglige utdanningsprogram, muntlig
SAS2022;Samisk som andrespråk, samisk 2, lulesamisk, vg1 studieforberedende utdanningsprogram, skriftlig
SAS2023;Samisk som andrespråk, samisk 2, lulesamisk, vg1 studieforberedende utdanningsprogram, muntlig
SAS2024;Samisk som andrespråk, samisk 2, lulesamisk, vg2 studieforberedende utdanningsprogram, skriftlig
SAS2025;Samisk som andrespråk, samisk 2, lulesamisk, vg2 studieforberedende utdanningsprogram, muntlig
SAS2026;Samisk som andrespråk, samisk 2, lulesamisk, Vg3 studieforberedende utdanningsprogram, skriftlig
SAS2027;Samisk som andrespråk, samisk 2, lulesamisk, Vg3 studieforberedende utdanningsprogram, muntlig
SAS2028;Samisk som andrespråk, samisk 2, nordsamisk, Vg3 påbygging til generell studiekompetanse, skriftlig
SAS2029;Samisk som andrespråk, samisk 2, nordsamisk, Vg3 påbygging til generell studiekompetanse, muntlig
SAS2030;Samisk som andrespråk, samisk 2, sørsamisk, Vg3 påbygging til generell studiekompetanse, skriftlig
SAS2031;Samisk som andrespråk, samisk 2, sørsamisk, Vg3 påbygging til generell studiekompetanse, muntlig
SAS2032;Samisk som andrespråk, samisk 2, lulesamisk, Vg3 påbygging til generell studiekompetanse, skriftligc
SAS2033;Samisk som andrespråk, samisk 2, lulesamisk, Vg3 påbygging til generell studiekompetanse, muntlig
SAS3029;Samisk som andrespråk, samisk 3, nordsamisk, vg1 yrkesfaglige utdanningsprogram
SAS3030;Samisk som andrespråk, samisk 3, nordsamisk, vg1 studieforberedende utdanningsprogram
SAS3031;Samisk som andrespråk, samisk 3, sørsamisk, vg1 yrkesfaglige utdanningsprogram
SAS3032;Samisk som andrespråk, samisk 3, sørsamisk, vg1 studieforberedende utdanningsprogram
SAS3033;Samisk som andrespråk, samisk 3, lulesamisk, vg1 yrkesfaglige utdanningsprogram
SAS3034;Samisk som andrespråk, samisk 3, lulesamisk, vg1 studieforberedende utdanningsprogram
SAS3035;Samisk som andrespråk, samisk 3, nordsamisk, vg2 yrkesfaglige utdanningsprogram
SAS3036;Samisk som andrespråk, samisk 3, nordsamisk, vg2 studieforberedende utdanningsprogram
SAS3037;Samisk som andrespråk, samisk 3, sørsamisk, vg2 yrkesfaglige utdanningsprogram
SAS3038;Samisk som andrespråk, samisk 3, sørsamisk, vg2 studieforberedende utdanningsprogram
SAS3039;Samisk som andrespråk, samisk 3, lulesamisk, vg2 yrkesfaglige utdanningsprogram
SAS3040;Samisk som andrespråk, samisk 3, lulesamisk, vg2 studieforberedende utdanningsprogram
SAS3041;Samisk som andrespråk, samisk 3, nordsamisk, Vg3 studieforberedende utdanningsprogram
SAS3042;Samisk som andrespråk, samisk 3, nordsamisk, Vg3 studieforberedende utdanningsprogram, muntlig
SAS3043;Samisk som andrespråk, samisk 3, sørsamisk, Vg3 studieforberedende utdanningsprogram
SAS3044;Samisk som andrespråk, samisk 3, sørsamisk, Vg3 studieforberedende utdanningsprogram, muntlig
SAS3045;Samisk som andrespråk, samisk 3, lulesamisk, Vg3 studieforberedende utdanningsprogram
SAS3046;Samisk som andrespråk, samisk 3, lulesamisk, Vg3 studieforberedende utdanningsprogram, muntlig
SAS3047;Samisk som andrespråk, samisk 3, nordsamisk, Vg3 påbygging til generell studiekompetanse
SAS3048;Samisk som andrespråk, samisk 3, nordsamisk, Vg3 påbygging til generell studiekompetanse, muntlig
SAS3049;Samisk som andrespråk, samisk 3, sørsamisk, Vg3 påbygging til generell studiekompetanse
SAS3050;Samisk som andrespråk, samisk 3, sørsamisk, Vg3 påbygging til generell studiekompetanse, muntlig
SAS3051;Samisk som andrespråk, samisk 3, lulesamisk, Vg3 påbygging til generell studiekompetanse
SAS3052;Samisk som andrespråk, samisk 3, lulesamisk, Vg3 påbygging til generell studiekompetanse, muntlig
SAS4031;Samisk som andrespråk, samisk 4, nordsamisk, vg1 studieforberedende utdanningsprogram
SAS4033;Samisk som andrespråk, samisk 4, nordsamisk, vg2 studieforberedende utdanningsprogram
SAS4035;Samisk som andrespråk, samisk 4, nordsamisk, Vg3 studieforberedende utdanningsprogram
SAS4036;Samisk som andrespråk, samisk 4, nordsamisk, Vg3 studieforberedende utdanningsprogram, muntlig
SAS4037;Samisk som andrespråk, samisk 4, nordsamisk, vg1 yrkesfaglige utdanningsprogram
SAS4038;Samisk som andrespråk, samisk 4, nordsamisk, vg2 yrkesfaglige utdanningsprogram
SAS4039;Samisk som andrespråk, samisk 4, nordsamisk, Vg3 påbygging til generell studiekompetanse
SAS4040;Samisk som andrespråk, samisk 4, nordsamisk, Vg3 påbygging til generell studiekompetanse, muntlig
SAS4041;Samisk som andrespråk, samisk 4, sørsamisk, vg1 studieforberedende utdanningsprogram
SAS4043;Samisk som andrespråk, samisk 4, sørsamisk, vg2 studieforberedende utdanningsprogram
SAS4045;Samisk som andrespråk, samisk 4, sørsamisk, Vg3 studieforberedende utdanningsprogram
SAS4046;Samisk som andrespråk, samisk 4, sørsamisk, Vg3 studieforberedende utdanningsprogram, muntlig
SAS4047;Samisk som andrespråk, samisk 4, sørsamisk, vg1 yrkesfaglige utdanningsprogram
SAS4048;Samisk som andrespråk, samisk 4, sørsamisk, vg2 yrkesfaglige utdanningsprogram
SAS4049;Samisk som andrespråk, samisk 4, sørsamisk, Vg3 påbygging til generell studiekompetanse
SAS4050;Samisk som andrespråk, samisk 4, sørsamisk, Vg3 påbygging til generell studiekompetanse, muntlig
SAS4051;Samisk som andrespråk, samisk 4, lulesamisk, vg1 studieforberedende utdanningsprogram
SAS4053;Samisk som andrespråk, samisk 4, lulesamisk, vg2 studieforberedende utdanningsprogram
SAS4055;Samisk som andrespråk, samisk 4, lulesamisk, Vg3 studieforberedende utdanningsprogram
SAS4056;Samisk som andrespråk, samisk 4, lulesamisk, Vg3 studieforberedende utdanningsprogram, muntlig
SAS4057;Samisk som andrespråk, samisk 4, lulesamisk, vg1 yrkesfaglige utdanningsprogram
SAS4058;Samisk som andrespråk, samisk 4, lulesamisk, vg2 yrkesfaglige utdanningsprogram
SAS4059;Samisk som andrespråk, samisk 4, lulesamisk, Vg3 påbygging til generell studiekompetanse
SAS4060;Samisk som andrespråk, samisk 4, lulesamisk, Vg3 påbygging til generell studiekompetanse, muntlig
SBF3001;Stillasbyggerfaget - særløp
SBF3103;Stillasbyggerfaget - skriftlig
SBR2004;Skogsdrift og maskinlære
SBR2005;Skogskjøtsel, klima og næring
SBR2006;Tverrfaglig eksamen skogbruk
SEI3004;Seilmakerfaget - særløp
SEI3103;Seilmakerfaget , skriftlig
SER3004;Servitørfaget
SER3103;Servitørfaget, skriftlig
SFS1025;Samisk som førstespråk, samisk 1, nordsamisk, vg1 yrkesfaglige utdanningsprogram
SFS1026;Samisk som førstespråk, samisk 1, nordsamisk, vg2 yrkesfaglige utdanningsprogram
SFS1027;Samisk som førstespråk, samisk 1, nordsamisk, vg2 yrkesfaglige utdanningsprogram, muntlig
SFS1028;Samisk som førstespråk, samisk 1, nordsamisk, vg1 studieforberedende utdanningsprogram, skriftlig
SFS1029;Samisk som førstespråk, samisk 1, nordsamisk, vg1 studieforberedende utdanningsprogram, muntlig
SFS1030;Samisk som førstespråk, samisk 1, nordsamisk, vg2 studieforberedende utdanningsprogram, skriftlig
SFS1031;Samisk som førstespråk, samisk 1, nordsamisk, vg2 studieforberedende utdanningsprogram, muntlig
SFS1032;Samisk som førstespråk, samisk 1, nordsamisk, Vg3 studieforberedende utdanningsprogram, skriftlig
SFS1033;Samisk som førstespråk, samisk 1, nordsamisk, Vg3 studieforberedende utdanningsprogram, muntlig
SFS1034;Samisk som førstespråk, samisk 1, sørsamisk, vg1 yrkesfaglige utdanningsprogram
SFS1035;Samisk som førstespråk, samisk 1, sørsamisk, vg2 yrkesfaglige utdanningsprogram
SFS1036;Samisk som førstespråk, samisk 1, sørsamisk, vg2 yrkesfaglige utdanningsprogram, muntlig
SFS1037;Samisk som førstespråk, samisk 1, sørsamisk, vg1 studieforberedende utdanningsprogram, skriftlig
SFS1038;Samisk som førstespråk, samisk 1, sørsamisk, vg1 studieforberedende utdanningsprogram, muntlig
SFS1039;Samisk som førstespråk, samisk 1, sørsamisk, vg2 studieforberedende utdanningsprogram, skriftlig
SFS1040;Samisk som førstespråk, samisk 1, sørsamisk, vg2 studieforberedende utdanningsprogram, muntlig
SFS1041;Samisk som førstespråk, samisk 1, sørsamisk, Vg3 studieforberedende utdanningsprogram, skriftlig
SFS1042;Samisk som førstespråk, samisk 1, sørsamisk, Vg3 studieforberedende utdanningsprogram, muntlig
SFS1043;Samisk som førstespråk, samisk 1, lulesamisk, vg1 yrkesfaglige utdanningsprogram
SFS1044;Samisk som førstespråk, samisk 1, lulesamisk, vg2 yrkesfaglige utdanningsprogram
SFS1045;Samisk som førstespråk, samisk 1, lulesamisk, vg2 yrkesfaglige utdanningsprogram, muntlig
SFS1046;Samisk som førstespråk, samisk 1, lulesamisk, vg1 studieforberedende utdanningsprogram, skriftlig
SFS1047;Samisk som førstespråk, samisk 1, lulesamisk, vg1 studieforberedende utdanningsprogram, muntlig
SFS1048;Samisk som førstespråk, samisk 1, lulesamisk, vg2 studieforberedende utdanningsprogram, skriftlig
SFS1049;Samisk som førstespråk, samisk 1, lulesamisk, vg2 studieforberedende utdanningsprogram, muntlig
SFS1050;Samisk som førstespråk, samisk 1, lulesamisk, Vg3 studieforberedende utdanningsprogram, skriftlig
SFS1051;Samisk som førstespråk, samisk 1, lulesamisk, Vg3 studieforberedende utdanningsprogram, muntlig
SFS1052;Samisk som førstespråk, samisk 1, nordsamisk, Vg3 påbygging til generell studiekompetanse, skriftlig
SFS1053;Samisk som førstespråk, samisk 1, nordsamisk, Vg3 påbygging til generell studiekompetanse, muntlig
SFS1054;Samisk som førstespråk, samisk 1, sørsamisk, Vg3 påbygging til generell studiekompetanse, skriftlig
SFS1055;Samisk som førstespråk, samisk 1, sørsamisk, Vg3 påbygging til generell studiekompetanse, muntlig
SFS1056;Samisk som førstespråk, samisk 1, lulesamisk, Vg3 påbygging til generell studiekompetanse, skriftlig
SFS1059;Samisk som førstespråk, samisk 1, lulesamisk, Vg3 påbygging til generell studiekompetanse, muntlig
SGR3004;Serigrafifaget
SGR3103;Serigrafifaget, skriftlig
SIG3004;Signalmontørfaget
SIG3103;Signalmontørfaget, skriftlig
SIK3004;Sikkerhetsfaget
SIK3103;Sikkerhetsfaget, skriftlig
SKF3004;Skogfaget
SKF3103;Skogfaget, skriftlig
SKO3004;Skomakerfaget
SKO3103;Skomakerfaget, skriftlig
SLF3004;Slakterfaget
SLF3103;Slakterfaget, skriftlig
SLG3004;Salgsfaget
SLG3103;Salgsfaget, skriftlig
SLV3004;Sølvsmedfaget
SLV3103;Sølvsmedfaget, skriftlig
SME2004;Smedhåndverk
SME2005;Design og produktutvikling
SME2006;Tverrfaglig eksamen i smed
SME3004;Smedfaget
SME3103;Smedfaget, skriftlig
SMK3001;Skipsmotormekanikerfaget
SMK3103;Skipsmotormekanikerfaget, skriftlig
SMP3004;Sjømatproduksjon
SMP3103;Sjømatproduksjon, skriftlig
SNE3001;Snekkerfaget, fordypningsområde innredning
SNE3004;Snekkerfaget, fordypningsområde dør og vindu
SNE3005;Snekkerfaget, fordypningsområde trapp
SNE3103;Snekkerfaget, fordypningsområde innredning, skriftlig
SNE3104;Snekkerfaget, fordypningsområde dør og vindu, skriftlig
SNE3105;Snekkerfaget, fordypningsområde trapp, skriftlig
SOA3001;Service- og administrasjonsfaget
SOA3103;Service- og administrasjonsfaget, skriftlig
SPD3004;Skinn- og pelsduodjifaget
SPD3103;Skinn- og pelsduodjifaget, skriftlig
SPR3022;Antikkens kultur
SPR3023;Gresk 1
SPR3024;Gresk 2
SPR3025;Gresk 2, muntlig
SPR3026;Latin 1
SPR3027;Latin 2
SPR3028;Latin 2, muntlig
SPR3029;Engelsk 1
SPR3030;Engelsk 1, muntlig
SPR3031;Engelsk 2
SPR3032;Engelsk 2, muntlig
SPR3033;Kommunikasjon og kultur 1
SPR3034;Kommunikasjon og kultur 2
SPR3035;Kommunikasjon og kultur 2, muntlig
SPR3036;Kommunikasjon og kultur 3
SPR3037;Kommunikasjon og kultur 3. muntlig-praktisk
SPR3038;Reiseliv og språk 1
SPR3039;Reiseliv og språk 2
SPR3040;Reiseliv og språk 2, muntlig
SRL2001;Forretningsdrift
SRL2002;Innovasjon og markedsføring
SRL2003;Kultur og kommunikasjon
SRL2004;Tverrfaglig eksamen salg og reiseliv
SSH2001;Sikkerhet
SSH2002;Administrasjon og bærekraftig drift
SSH2003;Kommunikasjon og yrkesutøvelse
SSH2004;Tverrfaglig eksamen service, sikkerhet og administrasjon
SSR1001;Forretningsdrift
SSR1002;Markedsføring og innovasjon
SSR1003;Kultur og samhandling
SSR1004;Tverrfaglig eksamen, salg, service og reiseliv, privatister
STE3004;Steinfaget - særløp
STE3103;Steinfaget , skriftlig
STH2001;Design og produktutvikling
STH2002;Produksjon og materialer
STH2003;Tverrfaglig eksamen søm og tekstilhåndverk
STR3004;Strikkefaget
STR3103;Strikkefaget, skriftlig
SVE3004;Sveisefaget
SVE3103;Sveisefaget, skriftlig
SYM3001;Sykkelmekanikerfaget
SYM3103;Sykkelmekanikerfaget, skriftlig
TAK3004;Tak- og membrantekkerfaget
TAK3103;Tak- og membrantekkerfaget, skriftlig
TAN3005;Smittevern, tannanatomi og fysiologi
TAN3006;Kommunikasjon og samhandling
TAN3007;Yrkesliv i tannhelsesekretærfaget
TAN3008;Tverrfaglig eksamen, tannhelsesekretær
TAV3004;Tavlemontørfaget
TAV3103;Tavlemontørfaget
TDR3004;Tredreierfaget
TDR3103;Tredreierfaget, skriftlig
TED3004;Tekstilduodjifaget
TED3103;Tekstilduodjifaget, skriftlig
TEL3004;Telekommunikasjonsmontørfaget
TEL3103;Telekommunikasjonsmontørfaget, skriftlig
TIP1006;Produksjon og tjenester
TIP1007;Konstruksjons- og styringsteknikk
TIP1008;Produktivitet og kvalitetsstyring
TIP1009;Tverrfaglig eksamen, teknologi- og industrifag, privatister
TKS3004;Taksidermistfaget - særløp
TKS3103;Taksidermistfaget , skriftlig
TLM3001;Truck- og liftmekanikerfaget
TLM3103;Truck- og liftmekanikerfaget, skriftlig
TLT3001;Trelast og limtreproduksjonsfaget, fordypningsområde høvellastproduksjon
TLT3004;Trelast og limtreproduksjonsfaget, fordypningsområde skurlastproduksjon
TLT3005;Trelast og limtreproduksjon, fordypningsområde konstruksjonslimtre
TLT3006;Trelast og limtreproduksjonsfaget, fordypningsområde limtreplater og komponenter
TLT3103;Trelast og limtreproduksjonsfaget, fordypningsområde høvellastproduksjon, skriftlig
TLT3104;Trelast og limtreproduksjonsfaget, fordypningsområde skurlastproduksjon, skriftlig
TLT3105;Trelast og limtreproduksjonsfaget, fordypningsområde konstruksjonlimtre, skriftlig
TLT3106;Trelast og limtreproduksjonsfaget, fordypningsområde limtreplater og komponenter, skriftlig
TMF2001;Konstruksjoner og klimaskall
TMF2002;Vinduer, dører og innvendig arbeid
TMF2003;Materialegenskaper, varmeisolering og tetting
TMF2004;Tverrfaglig eksamen tømrer
TMF3004;Tømrerfaget
TMF3103;Tømrerfaget, skriftlig
TOG3004;Togelektrikerfaget
TOG3103;Togelektrikerfaget
TOL2001;Bransjeteknikk
TOL2002;Transport, logistikk og løfteoperasjoner
TOL2003;Bransjelære
TOL2004;Tverrfaglig eksamen transport og logistikk
TRB3004;Trebåtbyggerfaget
TRB3103;Trebåtbyggerfaget , skriftlig
TRD3004;Treduodjifaget
TRD3103;Treduodjifaget, skriftlig
TRT2004;Tegning og materialvalg
TRT2005;Produksjon
TRT2006;Tverrfaglig eksamen treteknikk
TSK3004;Treskjærerfaget
TSK3103;Treskjærerfaget, skriftlig
TSR3001;Tekstilrensfaget
TSR3103;Tekstilrensfaget, skriftlig
UIM2004;Produksjon og vedlikehold
UIM2005;Produktutvikling
UIM2006;Tverrfaglig eksamen ur- og instrumentmaker
URM3004;Urmakerfaget
URM3103;Urmakerfaget, skriftlig
VAF3001;Vaskerifaget
VAF3103;Vaskerifaget , skriftlig
VBL3004;Ventilasjons- og blikkenslagerfaget
VBL3103;Ventilasjons- og blikkenslagerfaget, skriftlig
VEN3001;Ventilasjonsteknikkfaget
VEN3103;Ventilasjonsteknikkfaget, skriftlig
VER3004;Verktøymakerfaget
VER3103;Verktøymakerfaget, skriftlig
VHD3004;Ull- og garnduodjifaget
VHD3103;Ull- og garnduodjifaget, skriftlig
VIK3004;Viklerfaget
VIK3103;Viklerfaget
VOA3004;Vei- og anleggsfaget
VOA3103;Vei- og anleggsfaget, skriftlig
VOV3001;Veidrift- og veivedlikeholdsfaget
VOV3103;Veidrift- og veivedlikeholdsfaget, skriftlig
YRK3004;Yrkessjåførfaget
